金”	金”，即中央政府必须在相当程度上尊重地方的利益诉求，包括地方<br>— 周黎安 · 《转型中的地方政府》 · p92	周黎安 转型中的地方政府 概念
在西方	在西方，即便是单一制国家，中央政府如果想让<br>— 周黎安 · 《转型中的地方政府》 · p96	周黎安 转型中的地方政府 概念
理的三个维度	理的三个维度，即激励强度（incentive intensity），行政控制<br>— 周黎安 · 《转型中的地方政府》 · p98	周黎安 转型中的地方政府 概念
府事务外包主要	府事务外包主要是指将政府一部分职能或服务转包给私人机构，政府<br>— 周黎安 · 《转型中的地方政府》 · p98	周黎安 转型中的地方政府 概念
比例分配	比例分配，即基建投资额中的40％由中央主管部门掌握使用，30％由<br>— 周黎安 · 《转型中的地方政府》 · p108	周黎安 转型中的地方政府 概念
“简政”	“简政”是指精简政府机构，大力撤并中央的一些部委。<br>— 周黎安 · 《转型中的地方政府》 · p110	周黎安 转型中的地方政府 概念
管理体制	管理体制，即中央负责管理中央各部委和地方各省市自治区一级的领<br>— 周黎安 · 《转型中的地方政府》 · p110	周黎安 转型中的地方政府 概念
共和国宪法》	共和国宪法》，即通称的《八二宪法》。<br>— 周黎安 · 《转型中的地方政府》 · p110	周黎安 转型中的地方政府 概念
对下更加放权	加放宽，对下更加放权”，其中所谓“对下更加放权”，就是赋予<br>— 周黎安 · 《转型中的地方政府》 · p113	周黎安 转型中的地方政府 概念
块块	“块块”是指地方政府所统辖和管理的<br>— 周黎安 · 《转型中的地方政府》 · p120	周黎安 转型中的地方政府 概念
条”通常	条”通常是指中央一级的行政机关或企事业单位在不同层级的地方政<br>— 周黎安 · 《转型中的地方政府》 · p120	周黎安 转型中的地方政府 概念
条块关系	在条块关系中，我们需要区分所谓的部门之间的“领导关<br>— 周黎安 · 《转型中的地方政府》 · p121	周黎安 转型中的地方政府 概念
虑一个委托人	虑一个委托人，即中央政府作为一个整体向各级地方政府分包各项事<br>— 周黎安 · 《转型中的地方政府》 · p126	周黎安 转型中的地方政府 概念
“多对一”	“多对一”是指多个发包方（中央部委）面对一个承办方（地方政<br>— 周黎安 · 《转型中的地方政府》 · p127	周黎安 转型中的地方政府 概念
“一对多”	“一对多”是指一个地方政<br>— 周黎安 · 《转型中的地方政府》 · p129	周黎安 转型中的地方政府 概念
个地方上显得过多过杂	个地方上显得过多过杂，即所谓的“撒胡椒面”。<br>— 周黎安 · 《转型中的地方政府》 · p129	周黎安 转型中的地方政府 概念
“多对多”	“多对多”是指多个发包方面对多个承包方，这是现实中我们观察到<br>— 周黎安 · 《转型中的地方政府》 · p130	周黎安 转型中的地方政府 概念
基层的行政单位	基层的行政单位，即所谓“王权止于县政”。<br>— 周黎安 · 《转型中的地方政府》 · p132	周黎安 转型中的地方政府 概念
村委会	社、恢复乡镇之后被称为“村委会”。<br>— 周黎安 · 《转型中的地方政府》 · p138	周黎安 转型中的地方政府 概念
干的体制	干的体制，即“定收定支，收支包干，保证上缴（或差额补贴），结<br>— 周黎安 · 《转型中的地方政府》 · p149	周黎安 转型中的地方政府 概念
激励强度系数	激励强度系数，即代理人从创造的收入中获得的分享比例，是激<br>— 周黎安 · 《转型中的地方政府》 · p152	周黎安 转型中的地方政府 概念
